Complaint_ID,Location,Complaint_Text,Category,Priority_Label
CMP-1000,Delhi,"Unsafe area at night in Delhi, police patrolling required.",Women Safety,High
CMP-1001,Hyderabad,"Unsafe area at night in Hyderabad, police patrolling required.",Women Safety,High
CMP-1002,Delhi,Garbage not collected for days in Delhi.,Garbage Disposal,Low
CMP-1003,Bengaluru,Broken traffic lights causing congestion in Bengaluru.,Traffic Signal Failure,Medium
CMP-1004,Bengaluru,"Traffic signals not working at Bengaluru, risk of accidents.",Traffic Signal Failure,Medium
CMP-1005,Bengaluru,Patient not treated in emergency ward at Bengaluru.,Hospital Emergency,High
CMP-1006,Bengaluru,Garbage not collected for days in Bengaluru.,Garbage Disposal,Low
CMP-1007,Bengaluru,Broken traffic lights causing congestion in Bengaluru.,Traffic Signal Failure,Medium
CMP-1008,Hyderabad,Power outage since morning in Hyderabad.,Electricity Outage,Medium
CMP-1009,Bengaluru,Road repair pending for months in Bengaluru.,Road Damage,Medium
CMP-1010,Bengaluru,No water supply in Bengaluru for 3 days.,Water Supply,Low
CMP-1011,Bengaluru,"Ambulance delayed, urgent help needed in Bengaluru.",Hospital Emergency,High
CMP-1012,Chennai,Officer demanded bribe for service approval in Chennai.,Corruption Bribe,High
CMP-1013,Mumbai,Broken traffic lights causing congestion in Mumbai.,Traffic Signal Failure,Medium
CMP-1014,Chennai,Frequent voltage fluctuation in Chennai.,Electricity Outage,Medium
CMP-1015,Chennai,"Unsafe area at night in Chennai, police patrolling required.",Women Safety,High
CMP-1016,Delhi,Harassment incidents reported near Delhi. Immediate action needed.,Women Safety,High
CMP-1017,Mumbai,Garbage not collected for days in Mumbai.,Garbage Disposal,Low
CMP-1018,Hyderabad,Patient not treated in emergency ward at Hyderabad.,Hospital Emergency,High
CMP-1019,Bengaluru,Broken traffic lights causing congestion in Bengaluru.,Traffic Signal Failure,Medium
CMP-1020,Bengaluru,Garbage not collected for days in Bengaluru.,Garbage Disposal,Low
CMP-1021,Chennai,"Ambulance delayed, urgent help needed in Chennai.",Hospital Emergency,High
CMP-1022,Delhi,"Unsafe area at night in Delhi, police patrolling required.",Women Safety,High
CMP-1023,Mumbai,"Ambulance delayed, urgent help needed in Mumbai.",Hospital Emergency,High
CMP-1024,Chennai,Officer demanded bribe for service approval in Chennai.,Corruption Bribe,High
CMP-1025,Chennai,"Unsafe area at night in Chennai, police patrolling required.",Women Safety,High
CMP-1026,Delhi,Dirty drinking water coming from taps in Delhi.,Water Supply,Low
CMP-1027,Bengaluru,"Traffic signals not working at Bengaluru, risk of accidents.",Traffic Signal Failure,Medium
CMP-1028,Bengaluru,"Ambulance delayed, urgent help needed in Bengaluru.",Hospital Emergency,High
CMP-1029,Chennai,Power outage since morning in Chennai.,Electricity Outage,Medium
CMP-1030,Chennai,Patient not treated in emergency ward at Chennai.,Hospital Emergency,High
CMP-1031,Bengaluru,No water supply in Bengaluru for 3 days.,Water Supply,Low
CMP-1032,Chennai,No water supply in Chennai for 3 days.,Water Supply,Low
CMP-1033,Delhi,Illegal payments forced for basic work in Delhi.,Corruption Bribe,High
CMP-1034,Delhi,"Unsafe area at night in Delhi, police patrolling required.",Women Safety,High
CMP-1035,Bengaluru,"Traffic signals not working at Bengaluru, risk of accidents.",Traffic Signal Failure,Medium
CMP-1036,Bengaluru,Patient not treated in emergency ward at Bengaluru.,Hospital Emergency,High
CMP-1037,Chennai,"Ambulance delayed, urgent help needed in Chennai.",Hospital Emergency,High
CMP-1038,Mumbai,"Traffic signals not working at Mumbai, risk of accidents.",Traffic Signal Failure,Medium
CMP-1039,Delhi,Frequent voltage fluctuation in Delhi.,Electricity Outage,Medium
CMP-1040,Chennai,Illegal payments forced for basic work in Chennai.,Corruption Bribe,High
CMP-1041,Chennai,Patient not treated in emergency ward at Chennai.,Hospital Emergency,High
CMP-1042,Chennai,Dirty drinking water coming from taps in Chennai.,Water Supply,Low
CMP-1043,Bengaluru,Frequent voltage fluctuation in Bengaluru.,Electricity Outage,Medium
CMP-1044,Mumbai,Huge potholes causing accidents near Mumbai.,Road Damage,Medium
CMP-1045,Hyderabad,Dirty drinking water coming from taps in Hyderabad.,Water Supply,Low
CMP-1046,Delhi,No water supply in Delhi for 3 days.,Water Supply,Low
CMP-1047,Chennai,"Unsafe area at night in Chennai, police patrolling required.",Women Safety,High
CMP-1048,Bengaluru,Frequent voltage fluctuation in Bengaluru.,Electricity Outage,Medium
CMP-1049,Mumbai,Road repair pending for months in Mumbai.,Road Damage,Medium
CMP-1050,Delhi,No water supply in Delhi for 3 days.,Water Supply,Low
CMP-1051,Chennai,"Unsafe area at night in Chennai, police patrolling required.",Women Safety,High
CMP-1052,Hyderabad,Dirty drinking water coming from taps in Hyderabad.,Water Supply,Low
CMP-1053,Mumbai,Illegal payments forced for basic work in Mumbai.,Corruption Bribe,High
CMP-1054,Bengaluru,Huge potholes causing accidents near Bengaluru.,Road Damage,Medium
CMP-1055,Hyderabad,"Traffic signals not working at Hyderabad, risk of accidents.",Traffic Signal Failure,Medium
CMP-1056,Mumbai,Harassment incidents reported near Mumbai. Immediate action needed.,Women Safety,High
CMP-1057,Hyderabad,"Unsafe area at night in Hyderabad, police patrolling required.",Women Safety,High
CMP-1058,Hyderabad,Frequent voltage fluctuation in Hyderabad.,Electricity Outage,Medium
CMP-1059,Chennai,Huge potholes causing accidents near Chennai.,Road Damage,Medium
CMP-1060,Chennai,Broken traffic lights causing congestion in Chennai.,Traffic Signal Failure,Medium
CMP-1061,Delhi,Power outage since morning in Delhi.,Electricity Outage,Medium
CMP-1062,Chennai,No water supply in Chennai for 3 days.,Water Supply,Low
CMP-1063,Bengaluru,Dirty drinking water coming from taps in Bengaluru.,Water Supply,Low
CMP-1064,Mumbai,Harassment incidents reported near Mumbai. Immediate action needed.,Women Safety,High
CMP-1065,Hyderabad,Frequent voltage fluctuation in Hyderabad.,Electricity Outage,Medium
CMP-1066,Delhi,"Ambulance delayed, urgent help needed in Delhi.",Hospital Emergency,High
CMP-1067,Hyderabad,Patient not treated in emergency ward at Hyderabad.,Hospital Emergency,High
CMP-1068,Bengaluru,No water supply in Bengaluru for 3 days.,Water Supply,Low
CMP-1069,Chennai,Road repair pending for months in Chennai.,Road Damage,Medium
CMP-1070,Bengaluru,Road repair pending for months in Bengaluru.,Road Damage,Medium
CMP-1071,Delhi,Patient not treated in emergency ward at Delhi.,Hospital Emergency,High
CMP-1072,Mumbai,Garbage not collected for days in Mumbai.,Garbage Disposal,Low
CMP-1073,Mumbai,Overflowing waste bins causing bad smell in Mumbai.,Garbage Disposal,Low
CMP-1074,Mumbai,"Unsafe area at night in Mumbai, police patrolling required.",Women Safety,High
CMP-1075,Bengaluru,Frequent voltage fluctuation in Bengaluru.,Electricity Outage,Medium
CMP-1076,Bengaluru,Power outage since morning in Bengaluru.,Electricity Outage,Medium
CMP-1077,Bengaluru,Illegal payments forced for basic work in Bengaluru.,Corruption Bribe,High
CMP-1078,Delhi,"Unsafe area at night in Delhi, police patrolling required.",Women Safety,High
CMP-1079,Hyderabad,Road repair pending for months in Hyderabad.,Road Damage,Medium
CMP-1080,Bengaluru,Huge potholes causing accidents near Bengaluru.,Road Damage,Medium
CMP-1081,Mumbai,Illegal payments forced for basic work in Mumbai.,Corruption Bribe,High
CMP-1082,Chennai,No water supply in Chennai for 3 days.,Water Supply,Low
CMP-1083,Hyderabad,Road repair pending for months in Hyderabad.,Road Damage,Medium
CMP-1084,Bengaluru,Huge potholes causing accidents near Bengaluru.,Road Damage,Medium
CMP-1085,Delhi,"Unsafe area at night in Delhi, police patrolling required.",Women Safety,High
CMP-1086,Chennai,"Unsafe area at night in Chennai, police patrolling required.",Women Safety,High
CMP-1087,Bengaluru,Huge potholes causing accidents near Bengaluru.,Road Damage,Medium
CMP-1088,Delhi,Dirty drinking water coming from taps in Delhi.,Water Supply,Low
CMP-1089,Chennai,"Traffic signals not working at Chennai, risk of accidents.",Traffic Signal Failure,Medium
CMP-1090,Bengaluru,Road repair pending for months in Bengaluru.,Road Damage,Medium
CMP-1091,Bengaluru,Dirty drinking water coming from taps in Bengaluru.,Water Supply,Low
CMP-1092,Hyderabad,Illegal payments forced for basic work in Hyderabad.,Corruption Bribe,High
CMP-1093,Hyderabad,Garbage not collected for days in Hyderabad.,Garbage Disposal,Low
CMP-1094,Delhi,Patient not treated in emergency ward at Delhi.,Hospital Emergency,High
CMP-1095,Chennai,Illegal payments forced for basic work in Chennai.,Corruption Bribe,High
CMP-1096,Delhi,"Traffic signals not working at Delhi, risk of accidents.",Traffic Signal Failure,Medium
CMP-1097,Mumbai,"Unsafe area at night in Mumbai, police patrolling required.",Women Safety,High
CMP-1098,Delhi,Road repair pending for months in Delhi.,Road Damage,Medium
CMP-1099,Chennai,Officer demanded bribe for service approval in Chennai.,Corruption Bribe,High
CMP-1100,Hyderabad,Huge potholes causing accidents near Hyderabad.,Road Damage,Medium
CMP-1101,Delhi,Harassment incidents reported near Delhi. Immediate action needed.,Women Safety,High
CMP-1102,Bengaluru,Overflowing waste bins causing bad smell in Bengaluru.,Garbage Disposal,Low
CMP-1103,Delhi,Illegal payments forced for basic work in Delhi.,Corruption Bribe,High
CMP-1104,Delhi,"Ambulance delayed, urgent help needed in Delhi.",Hospital Emergency,High
CMP-1105,Hyderabad,Broken traffic lights causing congestion in Hyderabad.,Traffic Signal Failure,Medium
CMP-1106,Mumbai,"Traffic signals not working at Mumbai, risk of accidents.",Traffic Signal Failure,Medium
CMP-1107,Hyderabad,Harassment incidents reported near Hyderabad. Immediate action needed.,Women Safety,High
CMP-1108,Hyderabad,Garbage not collected for days in Hyderabad.,Garbage Disposal,Low
CMP-1109,Delhi,"Ambulance delayed, urgent help needed in Delhi.",Hospital Emergency,High
CMP-1110,Bengaluru,Dirty drinking water coming from taps in Bengaluru.,Water Supply,Low
CMP-1111,Bengaluru,"Ambulance delayed, urgent help needed in Bengaluru.",Hospital Emergency,High
CMP-1112,Bengaluru,Patient not treated in emergency ward at Bengaluru.,Hospital Emergency,High
CMP-1113,Mumbai,Huge potholes causing accidents near Mumbai.,Road Damage,Medium
CMP-1114,Delhi,No water supply in Delhi for 3 days.,Water Supply,Low
CMP-1115,Bengaluru,Garbage not collected for days in Bengaluru.,Garbage Disposal,Low
CMP-1116,Mumbai,Illegal payments forced for basic work in Mumbai.,Corruption Bribe,High
CMP-1117,Bengaluru,Road repair pending for months in Bengaluru.,Road Damage,Medium
CMP-1118,Hyderabad,Officer demanded bribe for service approval in Hyderabad.,Corruption Bribe,High
CMP-1119,Chennai,Illegal payments forced for basic work in Chennai.,Corruption Bribe,High
CMP-1120,Bengaluru,Broken traffic lights causing congestion in Bengaluru.,Traffic Signal Failure,Medium
CMP-1121,Chennai,Huge potholes causing accidents near Chennai.,Road Damage,Medium
CMP-1122,Bengaluru,Road repair pending for months in Bengaluru.,Road Damage,Medium
CMP-1123,Bengaluru,Garbage not collected for days in Bengaluru.,Garbage Disposal,Low
CMP-1124,Chennai,Harassment incidents reported near Chennai. Immediate action needed.,Women Safety,High
CMP-1125,Hyderabad,Patient not treated in emergency ward at Hyderabad.,Hospital Emergency,High
CMP-1126,Hyderabad,"Unsafe area at night in Hyderabad, police patrolling required.",Women Safety,High
CMP-1127,Bengaluru,"Traffic signals not working at Bengaluru, risk of accidents.",Traffic Signal Failure,Medium
CMP-1128,Delhi,Garbage not collected for days in Delhi.,Garbage Disposal,Low
CMP-1129,Hyderabad,Dirty drinking water coming from taps in Hyderabad.,Water Supply,Low
CMP-1130,Mumbai,"Traffic signals not working at Mumbai, risk of accidents.",Traffic Signal Failure,Medium
CMP-1131,Mumbai,Overflowing waste bins causing bad smell in Mumbai.,Garbage Disposal,Low
CMP-1132,Chennai,"Ambulance delayed, urgent help needed in Chennai.",Hospital Emergency,High
CMP-1133,Chennai,No water supply in Chennai for 3 days.,Water Supply,Low
CMP-1134,Bengaluru,Harassment incidents reported near Bengaluru. Immediate action needed.,Women Safety,High
CMP-1135,Hyderabad,Road repair pending for months in Hyderabad.,Road Damage,Medium
CMP-1136,Delhi,"Traffic signals not working at Delhi, risk of accidents.",Traffic Signal Failure,Medium
CMP-1137,Hyderabad,Illegal payments forced for basic work in Hyderabad.,Corruption Bribe,High
CMP-1138,Mumbai,No water supply in Mumbai for 3 days.,Water Supply,Low
CMP-1139,Delhi,Patient not treated in emergency ward at Delhi.,Hospital Emergency,High
CMP-1140,Bengaluru,Overflowing waste bins causing bad smell in Bengaluru.,Garbage Disposal,Low
CMP-1141,Hyderabad,Dirty drinking water coming from taps in Hyderabad.,Water Supply,Low
CMP-1142,Chennai,Illegal payments forced for basic work in Chennai.,Corruption Bribe,High
CMP-1143,Delhi,"Ambulance delayed, urgent help needed in Delhi.",Hospital Emergency,High
CMP-1144,Mumbai,Huge potholes causing accidents near Mumbai.,Road Damage,Medium
CMP-1145,Bengaluru,No water supply in Bengaluru for 3 days.,Water Supply,Low
CMP-1146,Chennai,Dirty drinking water coming from taps in Chennai.,Water Supply,Low
CMP-1147,Chennai,"Unsafe area at night in Chennai, police patrolling required.",Women Safety,High
CMP-1148,Delhi,Overflowing waste bins causing bad smell in Delhi.,Garbage Disposal,Low
CMP-1149,Hyderabad,Officer demanded bribe for service approval in Hyderabad.,Corruption Bribe,High
CMP-1150,Chennai,Huge potholes causing accidents near Chennai.,Road Damage,Medium
CMP-1151,Bengaluru,Overflowing waste bins causing bad smell in Bengaluru.,Garbage Disposal,Low
CMP-1152,Mumbai,Dirty drinking water coming from taps in Mumbai.,Water Supply,Low
CMP-1153,Mumbai,Garbage not collected for days in Mumbai.,Garbage Disposal,Low
CMP-1154,Bengaluru,Officer demanded bribe for service approval in Bengaluru.,Corruption Bribe,High
CMP-1155,Bengaluru,Huge potholes causing accidents near Bengaluru.,Road Damage,Medium
CMP-1156,Mumbai,Road repair pending for months in Mumbai.,Road Damage,Medium
CMP-1157,Bengaluru,Officer demanded bribe for service approval in Bengaluru.,Corruption Bribe,High
CMP-1158,Bengaluru,"Unsafe area at night in Bengaluru, police patrolling required.",Women Safety,High
CMP-1159,Chennai,Patient not treated in emergency ward at Chennai.,Hospital Emergency,High
CMP-1160,Chennai,No water supply in Chennai for 3 days.,Water Supply,Low
CMP-1161,Hyderabad,"Traffic signals not working at Hyderabad, risk of accidents.",Traffic Signal Failure,Medium
CMP-1162,Mumbai,"Ambulance delayed, urgent help needed in Mumbai.",Hospital Emergency,High
CMP-1163,Mumbai,Frequent voltage fluctuation in Mumbai.,Electricity Outage,Medium
CMP-1164,Delhi,"Unsafe area at night in Delhi, police patrolling required.",Women Safety,High
CMP-1165,Delhi,Garbage not collected for days in Delhi.,Garbage Disposal,Low
CMP-1166,Mumbai,Patient not treated in emergency ward at Mumbai.,Hospital Emergency,High
CMP-1167,Delhi,Overflowing waste bins causing bad smell in Delhi.,Garbage Disposal,Low
CMP-1168,Hyderabad,Illegal payments forced for basic work in Hyderabad.,Corruption Bribe,High
CMP-1169,Delhi,Patient not treated in emergency ward at Delhi.,Hospital Emergency,High
CMP-1170,Bengaluru,Overflowing waste bins causing bad smell in Bengaluru.,Garbage Disposal,Low
CMP-1171,Bengaluru,Huge potholes causing accidents near Bengaluru.,Road Damage,Medium
CMP-1172,Chennai,Patient not treated in emergency ward at Chennai.,Hospital Emergency,High
CMP-1173,Chennai,Garbage not collected for days in Chennai.,Garbage Disposal,Low
CMP-1174,Chennai,"Traffic signals not working at Chennai, risk of accidents.",Traffic Signal Failure,Medium
CMP-1175,Delhi,Power outage since morning in Delhi.,Electricity Outage,Medium
CMP-1176,Mumbai,Frequent voltage fluctuation in Mumbai.,Electricity Outage,Medium
CMP-1177,Chennai,Officer demanded bribe for service approval in Chennai.,Corruption Bribe,High
CMP-1178,Hyderabad,Frequent voltage fluctuation in Hyderabad.,Electricity Outage,Medium
CMP-1179,Chennai,Dirty drinking water coming from taps in Chennai.,Water Supply,Low
CMP-1180,Hyderabad,Patient not treated in emergency ward at Hyderabad.,Hospital Emergency,High
CMP-1181,Delhi,Harassment incidents reported near Delhi. Immediate action needed.,Women Safety,High
CMP-1182,Hyderabad,"Unsafe area at night in Hyderabad, police patrolling required.",Women Safety,High
CMP-1183,Delhi,Officer demanded bribe for service approval in Delhi.,Corruption Bribe,High
CMP-1184,Hyderabad,"Ambulance delayed, urgent help needed in Hyderabad.",Hospital Emergency,High
CMP-1185,Mumbai,"Ambulance delayed, urgent help needed in Mumbai.",Hospital Emergency,High
CMP-1186,Hyderabad,Patient not treated in emergency ward at Hyderabad.,Hospital Emergency,High
CMP-1187,Hyderabad,Frequent voltage fluctuation in Hyderabad.,Electricity Outage,Medium
CMP-1188,Bengaluru,"Unsafe area at night in Bengaluru, police patrolling required.",Women Safety,High
CMP-1189,Mumbai,Frequent voltage fluctuation in Mumbai.,Electricity Outage,Medium
CMP-1190,Bengaluru,Power outage since morning in Bengaluru.,Electricity Outage,Medium
CMP-1191,Mumbai,Harassment incidents reported near Mumbai. Immediate action needed.,Women Safety,High
CMP-1192,Delhi,Patient not treated in emergency ward at Delhi.,Hospital Emergency,High
CMP-1193,Hyderabad,Garbage not collected for days in Hyderabad.,Garbage Disposal,Low
CMP-1194,Bengaluru,No water supply in Bengaluru for 3 days.,Water Supply,Low
CMP-1195,Bengaluru,Frequent voltage fluctuation in Bengaluru.,Electricity Outage,Medium
CMP-1196,Delhi,Frequent voltage fluctuation in Delhi.,Electricity Outage,Medium
CMP-1197,Chennai,Officer demanded bribe for service approval in Chennai.,Corruption Bribe,High
CMP-1198,Delhi,Power outage since morning in Delhi.,Electricity Outage,Medium
CMP-1199,Mumbai,Overflowing waste bins causing bad smell in Mumbai.,Garbage Disposal,Low
CMP-1200,Mumbai,"Ambulance delayed, urgent help needed in Mumbai.",Hospital Emergency,High
CMP-1201,Bengaluru,"Unsafe area at night in Bengaluru, police patrolling required.",Women Safety,High
CMP-1202,Mumbai,Officer demanded bribe for service approval in Mumbai.,Corruption Bribe,High
CMP-1203,Bengaluru,"Unsafe area at night in Bengaluru, police patrolling required.",Women Safety,High
CMP-1204,Delhi,Broken traffic lights causing congestion in Delhi.,Traffic Signal Failure,Medium
CMP-1205,Chennai,Power outage since morning in Chennai.,Electricity Outage,Medium
CMP-1206,Hyderabad,Harassment incidents reported near Hyderabad. Immediate action needed.,Women Safety,High
CMP-1207,Bengaluru,Dirty drinking water coming from taps in Bengaluru.,Water Supply,Low
CMP-1208,Chennai,Illegal payments forced for basic work in Chennai.,Corruption Bribe,High
CMP-1209,Delhi,Overflowing waste bins causing bad smell in Delhi.,Garbage Disposal,Low
CMP-1210,Mumbai,Patient not treated in emergency ward at Mumbai.,Hospital Emergency,High
CMP-1211,Bengaluru,Huge potholes causing accidents near Bengaluru.,Road Damage,Medium
CMP-1212,Hyderabad,Overflowing waste bins causing bad smell in Hyderabad.,Garbage Disposal,Low
CMP-1213,Mumbai,Power outage since morning in Mumbai.,Electricity Outage,Medium
CMP-1214,Chennai,Frequent voltage fluctuation in Chennai.,Electricity Outage,Medium
CMP-1215,Chennai,Frequent voltage fluctuation in Chennai.,Electricity Outage,Medium
CMP-1216,Bengaluru,No water supply in Bengaluru for 3 days.,Water Supply,Low
CMP-1217,Hyderabad,"Unsafe area at night in Hyderabad, police patrolling required.",Women Safety,High
CMP-1218,Mumbai,"Traffic signals not working at Mumbai, risk of accidents.",Traffic Signal Failure,Medium
CMP-1219,Chennai,Garbage not collected for days in Chennai.,Garbage Disposal,Low
CMP-1220,Delhi,Power outage since morning in Delhi.,Electricity Outage,Medium
CMP-1221,Bengaluru,Broken traffic lights causing congestion in Bengaluru.,Traffic Signal Failure,Medium
CMP-1222,Chennai,"Traffic signals not working at Chennai, risk of accidents.",Traffic Signal Failure,Medium
CMP-1223,Bengaluru,"Ambulance delayed, urgent help needed in Bengaluru.",Hospital Emergency,High
CMP-1224,Mumbai,Garbage not collected for days in Mumbai.,Garbage Disposal,Low
CMP-1225,Delhi,Road repair pending for months in Delhi.,Road Damage,Medium
CMP-1226,Mumbai,Harassment incidents reported near Mumbai. Immediate action needed.,Women Safety,High
CMP-1227,Mumbai,Broken traffic lights causing congestion in Mumbai.,Traffic Signal Failure,Medium
CMP-1228,Hyderabad,"Traffic signals not working at Hyderabad, risk of accidents.",Traffic Signal Failure,Medium
CMP-1229,Mumbai,"Unsafe area at night in Mumbai, police patrolling required.",Women Safety,High
CMP-1230,Bengaluru,Illegal payments forced for basic work in Bengaluru.,Corruption Bribe,High
CMP-1231,Mumbai,Officer demanded bribe for service approval in Mumbai.,Corruption Bribe,High
CMP-1232,Bengaluru,Power outage since morning in Bengaluru.,Electricity Outage,Medium
CMP-1233,Chennai,"Traffic signals not working at Chennai, risk of accidents.",Traffic Signal Failure,Medium
CMP-1234,Chennai,Patient not treated in emergency ward at Chennai.,Hospital Emergency,High
CMP-1235,Bengaluru,"Traffic signals not working at Bengaluru, risk of accidents.",Traffic Signal Failure,Medium
CMP-1236,Mumbai,Power outage since morning in Mumbai.,Electricity Outage,Medium
CMP-1237,Chennai,Harassment incidents reported near Chennai. Immediate action needed.,Women Safety,High
CMP-1238,Delhi,No water supply in Delhi for 3 days.,Water Supply,Low
CMP-1239,Bengaluru,Patient not treated in emergency ward at Bengaluru.,Hospital Emergency,High
CMP-1240,Mumbai,Overflowing waste bins causing bad smell in Mumbai.,Garbage Disposal,Low
CMP-1241,Chennai,Officer demanded bribe for service approval in Chennai.,Corruption Bribe,High
CMP-1242,Bengaluru,Harassment incidents reported near Bengaluru. Immediate action needed.,Women Safety,High
CMP-1243,Bengaluru,Garbage not collected for days in Bengaluru.,Garbage Disposal,Low
CMP-1244,Delhi,Dirty drinking water coming from taps in Delhi.,Water Supply,Low
CMP-1245,Delhi,Huge potholes causing accidents near Delhi.,Road Damage,Medium
CMP-1246,Hyderabad,No water supply in Hyderabad for 3 days.,Water Supply,Low
CMP-1247,Chennai,Garbage not collected for days in Chennai.,Garbage Disposal,Low
CMP-1248,Bengaluru,"Traffic signals not working at Bengaluru, risk of accidents.",Traffic Signal Failure,Medium
