Complaint_ID,Location,Complaint_Text,Category,Priority_Label
CMP-1749,Bengaluru,"Ambulance delayed, urgent help needed in Bengaluru.",Hospital Emergency,High
CMP-1750,Mumbai,Road repair pending for months in Mumbai.,Road Damage,Medium
CMP-1751,Hyderabad,Overflowing waste bins causing bad smell in Hyderabad.,Garbage Disposal,Low
CMP-1752,Mumbai,Broken traffic lights causing congestion in Mumbai.,Traffic Signal Failure,Medium
CMP-1753,Mumbai,Overflowing waste bins causing bad smell in Mumbai.,Garbage Disposal,Low
CMP-1754,Mumbai,Road repair pending for months in Mumbai.,Road Damage,Medium
CMP-1755,Bengaluru,Illegal payments forced for basic work in Bengaluru.,Corruption Bribe,High
CMP-1756,Mumbai,Patient not treated in emergency ward at Mumbai.,Hospital Emergency,High
CMP-1757,Bengaluru,"Ambulance delayed, urgent help needed in Bengaluru.",Hospital Emergency,High
CMP-1758,Hyderabad,Frequent voltage fluctuation in Hyderabad.,Electricity Outage,Medium
CMP-1759,Mumbai,Illegal payments forced for basic work in Mumbai.,Corruption Bribe,High
CMP-1760,Hyderabad,Officer demanded bribe for service approval in Hyderabad.,Corruption Bribe,High
CMP-1761,Delhi,Illegal payments forced for basic work in Delhi.,Corruption Bribe,High
CMP-1762,Chennai,Road repair pending for months in Chennai.,Road Damage,Medium
CMP-1763,Mumbai,Harassment incidents reported near Mumbai. Immediate action needed.,Women Safety,High
CMP-1764,Delhi,Harassment incidents reported near Delhi. Immediate action needed.,Women Safety,High
CMP-1765,Hyderabad,Garbage not collected for days in Hyderabad.,Garbage Disposal,Low
CMP-1766,Bengaluru,Patient not treated in emergency ward at Bengaluru.,Hospital Emergency,High
CMP-1767,Bengaluru,Frequent voltage fluctuation in Bengaluru.,Electricity Outage,Medium
CMP-1768,Mumbai,Illegal payments forced for basic work in Mumbai.,Corruption Bribe,High
CMP-1769,Hyderabad,Road repair pending for months in Hyderabad.,Road Damage,Medium
CMP-1770,Chennai,Power outage since morning in Chennai.,Electricity Outage,Medium
CMP-1771,Mumbai,No water supply in Mumbai for 3 days.,Water Supply,Low
CMP-1772,Hyderabad,Dirty drinking water coming from taps in Hyderabad.,Water Supply,Low
CMP-1773,Chennai,Road repair pending for months in Chennai.,Road Damage,Medium
CMP-1774,Mumbai,Officer demanded bribe for service approval in Mumbai.,Corruption Bribe,High
CMP-1775,Hyderabad,Garbage not collected for days in Hyderabad.,Garbage Disposal,Low
CMP-1776,Mumbai,Garbage not collected for days in Mumbai.,Garbage Disposal,Low
CMP-1777,Delhi,Harassment incidents reported near Delhi. Immediate action needed.,Women Safety,High
CMP-1778,Delhi,Harassment incidents reported near Delhi. Immediate action needed.,Women Safety,High
CMP-1779,Bengaluru,Illegal payments forced for basic work in Bengaluru.,Corruption Bribe,High
CMP-1780,Hyderabad,Power outage since morning in Hyderabad.,Electricity Outage,Medium
CMP-1781,Bengaluru,Power outage since morning in Bengaluru.,Electricity Outage,Medium
CMP-1782,Delhi,"Unsafe area at night in Delhi, police patrolling required.",Women Safety,High
CMP-1783,Mumbai,Dirty drinking water coming from taps in Mumbai.,Water Supply,Low
CMP-1784,Bengaluru,Broken traffic lights causing congestion in Bengaluru.,Traffic Signal Failure,Medium
CMP-1785,Chennai,"Ambulance delayed, urgent help needed in Chennai.",Hospital Emergency,High
CMP-1786,Hyderabad,Road repair pending for months in Hyderabad.,Road Damage,Medium
CMP-1787,Chennai,Garbage not collected for days in Chennai.,Garbage Disposal,Low
CMP-1788,Mumbai,Road repair pending for months in Mumbai.,Road Damage,Medium
CMP-1789,Chennai,No water supply in Chennai for 3 days.,Water Supply,Low
CMP-1790,Bengaluru,Harassment incidents reported near Bengaluru. Immediate action needed.,Women Safety,High
CMP-1791,Chennai,Dirty drinking water coming from taps in Chennai.,Water Supply,Low
CMP-1792,Hyderabad,Huge potholes causing accidents near Hyderabad.,Road Damage,Medium
CMP-1793,Mumbai,Illegal payments forced for basic work in Mumbai.,Corruption Bribe,High
CMP-1794,Mumbai,Dirty drinking water coming from taps in Mumbai.,Water Supply,Low
CMP-1795,Chennai,Huge potholes causing accidents near Chennai.,Road Damage,Medium
CMP-1796,Hyderabad,Huge potholes causing accidents near Hyderabad.,Road Damage,Medium
CMP-1797,Bengaluru,Illegal payments forced for basic work in Bengaluru.,Corruption Bribe,High
CMP-1798,Hyderabad,Dirty drinking water coming from taps in Hyderabad.,Water Supply,Low
CMP-1799,Hyderabad,No water supply in Hyderabad for 3 days.,Water Supply,Low
CMP-1800,Bengaluru,No water supply in Bengaluru for 3 days.,Water Supply,Low
CMP-1801,Hyderabad,"Traffic signals not working at Hyderabad, risk of accidents.",Traffic Signal Failure,Medium
CMP-1802,Delhi,No water supply in Delhi for 3 days.,Water Supply,Low
CMP-1803,Bengaluru,No water supply in Bengaluru for 3 days.,Water Supply,Low
CMP-1804,Mumbai,Frequent voltage fluctuation in Mumbai.,Electricity Outage,Medium
CMP-1805,Bengaluru,"Unsafe area at night in Bengaluru, police patrolling required.",Women Safety,High
CMP-1806,Delhi,"Unsafe area at night in Delhi, police patrolling required.",Women Safety,High
CMP-1807,Mumbai,Power outage since morning in Mumbai.,Electricity Outage,Medium
CMP-1808,Hyderabad,"Traffic signals not working at Hyderabad, risk of accidents.",Traffic Signal Failure,Medium
CMP-1809,Hyderabad,Patient not treated in emergency ward at Hyderabad.,Hospital Emergency,High
CMP-1810,Bengaluru,Broken traffic lights causing congestion in Bengaluru.,Traffic Signal Failure,Medium
CMP-1811,Delhi,Dirty drinking water coming from taps in Delhi.,Water Supply,Low
CMP-1812,Chennai,"Ambulance delayed, urgent help needed in Chennai.",Hospital Emergency,High
CMP-1813,Hyderabad,Garbage not collected for days in Hyderabad.,Garbage Disposal,Low
CMP-1814,Delhi,Dirty drinking water coming from taps in Delhi.,Water Supply,Low
CMP-1815,Mumbai,Huge potholes causing accidents near Mumbai.,Road Damage,Medium
CMP-1816,Delhi,Garbage not collected for days in Delhi.,Garbage Disposal,Low
CMP-1817,Chennai,"Ambulance delayed, urgent help needed in Chennai.",Hospital Emergency,High
CMP-1818,Hyderabad,Broken traffic lights causing congestion in Hyderabad.,Traffic Signal Failure,Medium
CMP-1819,Mumbai,Frequent voltage fluctuation in Mumbai.,Electricity Outage,Medium
CMP-1820,Chennai,Illegal payments forced for basic work in Chennai.,Corruption Bribe,High
CMP-1821,Chennai,"Unsafe area at night in Chennai, police patrolling required.",Women Safety,High
CMP-1822,Mumbai,"Unsafe area at night in Mumbai, police patrolling required.",Women Safety,High
CMP-1823,Hyderabad,Overflowing waste bins causing bad smell in Hyderabad.,Garbage Disposal,Low
CMP-1824,Hyderabad,"Traffic signals not working at Hyderabad, risk of accidents.",Traffic Signal Failure,Medium
CMP-1825,Delhi,Broken traffic lights causing congestion in Delhi.,Traffic Signal Failure,Medium
CMP-1826,Hyderabad,Dirty drinking water coming from taps in Hyderabad.,Water Supply,Low
CMP-1827,Chennai,Broken traffic lights causing congestion in Chennai.,Traffic Signal Failure,Medium
CMP-1828,Mumbai,Frequent voltage fluctuation in Mumbai.,Electricity Outage,Medium
CMP-1829,Delhi,Frequent voltage fluctuation in Delhi.,Electricity Outage,Medium
CMP-1830,Hyderabad,Illegal payments forced for basic work in Hyderabad.,Corruption Bribe,High
CMP-1831,Chennai,"Ambulance delayed, urgent help needed in Chennai.",Hospital Emergency,High
CMP-1832,Chennai,Broken traffic lights causing congestion in Chennai.,Traffic Signal Failure,Medium
CMP-1833,Mumbai,"Unsafe area at night in Mumbai, police patrolling required.",Women Safety,High
CMP-1834,Chennai,Garbage not collected for days in Chennai.,Garbage Disposal,Low
CMP-1835,Chennai,Dirty drinking water coming from taps in Chennai.,Water Supply,Low
CMP-1836,Bengaluru,Illegal payments forced for basic work in Bengaluru.,Corruption Bribe,High
CMP-1837,Chennai,Illegal payments forced for basic work in Chennai.,Corruption Bribe,High
CMP-1838,Delhi,Harassment incidents reported near Delhi. Immediate action needed.,Women Safety,High
CMP-1839,Delhi,No water supply in Delhi for 3 days.,Water Supply,Low
CMP-1840,Bengaluru,Patient not treated in emergency ward at Bengaluru.,Hospital Emergency,High
CMP-1841,Delhi,Frequent voltage fluctuation in Delhi.,Electricity Outage,Medium
CMP-1842,Mumbai,"Traffic signals not working at Mumbai, risk of accidents.",Traffic Signal Failure,Medium
CMP-1843,Bengaluru,"Ambulance delayed, urgent help needed in Bengaluru.",Hospital Emergency,High
CMP-1844,Delhi,Dirty drinking water coming from taps in Delhi.,Water Supply,Low
CMP-1845,Hyderabad,Broken traffic lights causing congestion in Hyderabad.,Traffic Signal Failure,Medium
CMP-1846,Mumbai,Officer demanded bribe for service approval in Mumbai.,Corruption Bribe,High
CMP-1847,Bengaluru,Illegal payments forced for basic work in Bengaluru.,Corruption Bribe,High
CMP-1848,Bengaluru,Road repair pending for months in Bengaluru.,Road Damage,Medium
CMP-1849,Hyderabad,Harassment incidents reported near Hyderabad. Immediate action needed.,Women Safety,High
CMP-1850,Bengaluru,Illegal payments forced for basic work in Bengaluru.,Corruption Bribe,High
CMP-1851,Delhi,Broken traffic lights causing congestion in Delhi.,Traffic Signal Failure,Medium
CMP-1852,Delhi,Officer demanded bribe for service approval in Delhi.,Corruption Bribe,High
CMP-1853,Delhi,Frequent voltage fluctuation in Delhi.,Electricity Outage,Medium
CMP-1854,Chennai,Power outage since morning in Chennai.,Electricity Outage,Medium
CMP-1855,Hyderabad,Power outage since morning in Hyderabad.,Electricity Outage,Medium
CMP-1856,Mumbai,Officer demanded bribe for service approval in Mumbai.,Corruption Bribe,High
CMP-1857,Delhi,No water supply in Delhi for 3 days.,Water Supply,Low
CMP-1858,Delhi,Broken traffic lights causing congestion in Delhi.,Traffic Signal Failure,Medium
CMP-1859,Chennai,Power outage since morning in Chennai.,Electricity Outage,Medium
CMP-1860,Mumbai,Broken traffic lights causing congestion in Mumbai.,Traffic Signal Failure,Medium
CMP-1861,Bengaluru,No water supply in Bengaluru for 3 days.,Water Supply,Low
CMP-1862,Delhi,Dirty drinking water coming from taps in Delhi.,Water Supply,Low
CMP-1863,Hyderabad,Dirty drinking water coming from taps in Hyderabad.,Water Supply,Low
CMP-1864,Chennai,Overflowing waste bins causing bad smell in Chennai.,Garbage Disposal,Low
CMP-1865,Mumbai,Patient not treated in emergency ward at Mumbai.,Hospital Emergency,High
CMP-1866,Hyderabad,Harassment incidents reported near Hyderabad. Immediate action needed.,Women Safety,High
CMP-1867,Chennai,Patient not treated in emergency ward at Chennai.,Hospital Emergency,High
CMP-1868,Chennai,Power outage since morning in Chennai.,Electricity Outage,Medium
CMP-1869,Bengaluru,Power outage since morning in Bengaluru.,Electricity Outage,Medium
CMP-1870,Bengaluru,No water supply in Bengaluru for 3 days.,Water Supply,Low
CMP-1871,Delhi,"Traffic signals not working at Delhi, risk of accidents.",Traffic Signal Failure,Medium
CMP-1872,Chennai,Garbage not collected for days in Chennai.,Garbage Disposal,Low
CMP-1873,Hyderabad,Dirty drinking water coming from taps in Hyderabad.,Water Supply,Low
CMP-1874,Chennai,Dirty drinking water coming from taps in Chennai.,Water Supply,Low
CMP-1875,Bengaluru,Illegal payments forced for basic work in Bengaluru.,Corruption Bribe,High
CMP-1876,Hyderabad,Huge potholes causing accidents near Hyderabad.,Road Damage,Medium
CMP-1877,Hyderabad,Illegal payments forced for basic work in Hyderabad.,Corruption Bribe,High
CMP-1878,Mumbai,"Ambulance delayed, urgent help needed in Mumbai.",Hospital Emergency,High
CMP-1879,Bengaluru,Frequent voltage fluctuation in Bengaluru.,Electricity Outage,Medium
CMP-1880,Hyderabad,Overflowing waste bins causing bad smell in Hyderabad.,Garbage Disposal,Low
CMP-1881,Chennai,Overflowing waste bins causing bad smell in Chennai.,Garbage Disposal,Low
CMP-1882,Delhi,Harassment incidents reported near Delhi. Immediate action needed.,Women Safety,High
CMP-1883,Bengaluru,Broken traffic lights causing congestion in Bengaluru.,Traffic Signal Failure,Medium
CMP-1884,Hyderabad,Power outage since morning in Hyderabad.,Electricity Outage,Medium
CMP-1885,Mumbai,Road repair pending for months in Mumbai.,Road Damage,Medium
CMP-1886,Delhi,Officer demanded bribe for service approval in Delhi.,Corruption Bribe,High
CMP-1887,Bengaluru,Dirty drinking water coming from taps in Bengaluru.,Water Supply,Low
CMP-1888,Chennai,Huge potholes causing accidents near Chennai.,Road Damage,Medium
CMP-1889,Delhi,Harassment incidents reported near Delhi. Immediate action needed.,Women Safety,High
CMP-1890,Bengaluru,Broken traffic lights causing congestion in Bengaluru.,Traffic Signal Failure,Medium
CMP-1891,Bengaluru,"Traffic signals not working at Bengaluru, risk of accidents.",Traffic Signal Failure,Medium
CMP-1892,Bengaluru,"Ambulance delayed, urgent help needed in Bengaluru.",Hospital Emergency,High
CMP-1893,Mumbai,"Unsafe area at night in Mumbai, police patrolling required.",Women Safety,High
CMP-1894,Mumbai,Huge potholes causing accidents near Mumbai.,Road Damage,Medium
CMP-1895,Chennai,"Traffic signals not working at Chennai, risk of accidents.",Traffic Signal Failure,Medium
CMP-1896,Hyderabad,"Traffic signals not working at Hyderabad, risk of accidents.",Traffic Signal Failure,Medium
CMP-1897,Hyderabad,"Traffic signals not working at Hyderabad, risk of accidents.",Traffic Signal Failure,Medium
CMP-1898,Hyderabad,Officer demanded bribe for service approval in Hyderabad.,Corruption Bribe,High
CMP-1899,Delhi,Broken traffic lights causing congestion in Delhi.,Traffic Signal Failure,Medium
CMP-1900,Mumbai,Frequent voltage fluctuation in Mumbai.,Electricity Outage,Medium
CMP-1901,Delhi,No water supply in Delhi for 3 days.,Water Supply,Low
CMP-1902,Chennai,"Traffic signals not working at Chennai, risk of accidents.",Traffic Signal Failure,Medium
CMP-1903,Chennai,"Ambulance delayed, urgent help needed in Chennai.",Hospital Emergency,High
CMP-1904,Mumbai,Broken traffic lights causing congestion in Mumbai.,Traffic Signal Failure,Medium
CMP-1905,Mumbai,No water supply in Mumbai for 3 days.,Water Supply,Low
CMP-1906,Bengaluru,Frequent voltage fluctuation in Bengaluru.,Electricity Outage,Medium
CMP-1907,Chennai,Frequent voltage fluctuation in Chennai.,Electricity Outage,Medium
CMP-1908,Bengaluru,Dirty drinking water coming from taps in Bengaluru.,Water Supply,Low
CMP-1909,Mumbai,No water supply in Mumbai for 3 days.,Water Supply,Low
CMP-1910,Bengaluru,Harassment incidents reported near Bengaluru. Immediate action needed.,Women Safety,High
CMP-1911,Bengaluru,Dirty drinking water coming from taps in Bengaluru.,Water Supply,Low
CMP-1912,Hyderabad,Illegal payments forced for basic work in Hyderabad.,Corruption Bribe,High
CMP-1913,Delhi,Dirty drinking water coming from taps in Delhi.,Water Supply,Low
CMP-1914,Hyderabad,Dirty drinking water coming from taps in Hyderabad.,Water Supply,Low
CMP-1915,Hyderabad,Huge potholes causing accidents near Hyderabad.,Road Damage,Medium
CMP-1916,Hyderabad,Harassment incidents reported near Hyderabad. Immediate action needed.,Women Safety,High
CMP-1917,Mumbai,Harassment incidents reported near Mumbai. Immediate action needed.,Women Safety,High
CMP-1918,Hyderabad,Overflowing waste bins causing bad smell in Hyderabad.,Garbage Disposal,Low
CMP-1919,Chennai,Power outage since morning in Chennai.,Electricity Outage,Medium
CMP-1920,Delhi,"Unsafe area at night in Delhi, police patrolling required.",Women Safety,High
CMP-1921,Mumbai,Dirty drinking water coming from taps in Mumbai.,Water Supply,Low
CMP-1922,Mumbai,Frequent voltage fluctuation in Mumbai.,Electricity Outage,Medium
CMP-1923,Bengaluru,Power outage since morning in Bengaluru.,Electricity Outage,Medium
CMP-1924,Chennai,"Unsafe area at night in Chennai, police patrolling required.",Women Safety,High
CMP-1925,Chennai,"Ambulance delayed, urgent help needed in Chennai.",Hospital Emergency,High
CMP-1926,Delhi,Overflowing waste bins causing bad smell in Delhi.,Garbage Disposal,Low
CMP-1927,Delhi,Overflowing waste bins causing bad smell in Delhi.,Garbage Disposal,Low
CMP-1928,Delhi,Garbage not collected for days in Delhi.,Garbage Disposal,Low
CMP-1929,Chennai,Illegal payments forced for basic work in Chennai.,Corruption Bribe,High
CMP-1930,Mumbai,Overflowing waste bins causing bad smell in Mumbai.,Garbage Disposal,Low
CMP-1931,Mumbai,Officer demanded bribe for service approval in Mumbai.,Corruption Bribe,High
CMP-1932,Bengaluru,Broken traffic lights causing congestion in Bengaluru.,Traffic Signal Failure,Medium
CMP-1933,Delhi,Illegal payments forced for basic work in Delhi.,Corruption Bribe,High
CMP-1934,Chennai,"Ambulance delayed, urgent help needed in Chennai.",Hospital Emergency,High
CMP-1935,Bengaluru,Dirty drinking water coming from taps in Bengaluru.,Water Supply,Low
CMP-1936,Mumbai,"Traffic signals not working at Mumbai, risk of accidents.",Traffic Signal Failure,Medium
CMP-1937,Hyderabad,Patient not treated in emergency ward at Hyderabad.,Hospital Emergency,High
CMP-1938,Bengaluru,"Unsafe area at night in Bengaluru, police patrolling required.",Women Safety,High
CMP-1939,Delhi,Huge potholes causing accidents near Delhi.,Road Damage,Medium
CMP-1940,Bengaluru,Overflowing waste bins causing bad smell in Bengaluru.,Garbage Disposal,Low
CMP-1941,Mumbai,"Unsafe area at night in Mumbai, police patrolling required.",Women Safety,High
CMP-1942,Chennai,Officer demanded bribe for service approval in Chennai.,Corruption Bribe,High
CMP-1943,Mumbai,Frequent voltage fluctuation in Mumbai.,Electricity Outage,Medium
CMP-1944,Bengaluru,Dirty drinking water coming from taps in Bengaluru.,Water Supply,Low
CMP-1945,Hyderabad,Harassment incidents reported near Hyderabad. Immediate action needed.,Women Safety,High
CMP-1946,Hyderabad,"Unsafe area at night in Hyderabad, police patrolling required.",Women Safety,High
CMP-1947,Mumbai,Illegal payments forced for basic work in Mumbai.,Corruption Bribe,High
CMP-1948,Bengaluru,"Unsafe area at night in Bengaluru, police patrolling required.",Women Safety,High
CMP-1949,Mumbai,Broken traffic lights causing congestion in Mumbai.,Traffic Signal Failure,Medium
CMP-1950,Mumbai,"Unsafe area at night in Mumbai, police patrolling required.",Women Safety,High
CMP-1951,Delhi,Harassment incidents reported near Delhi. Immediate action needed.,Women Safety,High
CMP-1952,Chennai,Power outage since morning in Chennai.,Electricity Outage,Medium
CMP-1953,Mumbai,Officer demanded bribe for service approval in Mumbai.,Corruption Bribe,High
CMP-1954,Chennai,Dirty drinking water coming from taps in Chennai.,Water Supply,Low
CMP-1955,Hyderabad,"Traffic signals not working at Hyderabad, risk of accidents.",Traffic Signal Failure,Medium
CMP-1956,Delhi,Road repair pending for months in Delhi.,Road Damage,Medium
CMP-1957,Bengaluru,Harassment incidents reported near Bengaluru. Immediate action needed.,Women Safety,High
CMP-1958,Mumbai,"Traffic signals not working at Mumbai, risk of accidents.",Traffic Signal Failure,Medium
CMP-1959,Hyderabad,Harassment incidents reported near Hyderabad. Immediate action needed.,Women Safety,High
CMP-1960,Mumbai,No water supply in Mumbai for 3 days.,Water Supply,Low
CMP-1961,Hyderabad,Garbage not collected for days in Hyderabad.,Garbage Disposal,Low
CMP-1962,Mumbai,Road repair pending for months in Mumbai.,Road Damage,Medium
CMP-1963,Mumbai,"Traffic signals not working at Mumbai, risk of accidents.",Traffic Signal Failure,Medium
CMP-1964,Chennai,"Traffic signals not working at Chennai, risk of accidents.",Traffic Signal Failure,Medium
CMP-1965,Bengaluru,Overflowing waste bins causing bad smell in Bengaluru.,Garbage Disposal,Low
CMP-1966,Chennai,Officer demanded bribe for service approval in Chennai.,Corruption Bribe,High
CMP-1967,Mumbai,Patient not treated in emergency ward at Mumbai.,Hospital Emergency,High
CMP-1968,Chennai,No water supply in Chennai for 3 days.,Water Supply,Low
CMP-1969,Chennai,Harassment incidents reported near Chennai. Immediate action needed.,Women Safety,High
CMP-1970,Delhi,"Traffic signals not working at Delhi, risk of accidents.",Traffic Signal Failure,Medium
CMP-1971,Chennai,Illegal payments forced for basic work in Chennai.,Corruption Bribe,High
CMP-1972,Delhi,Illegal payments forced for basic work in Delhi.,Corruption Bribe,High
CMP-1973,Bengaluru,Broken traffic lights causing congestion in Bengaluru.,Traffic Signal Failure,Medium
CMP-1974,Chennai,No water supply in Chennai for 3 days.,Water Supply,Low
CMP-1975,Bengaluru,Overflowing waste bins causing bad smell in Bengaluru.,Garbage Disposal,Low
CMP-1976,Hyderabad,Officer demanded bribe for service approval in Hyderabad.,Corruption Bribe,High
CMP-1977,Hyderabad,Illegal payments forced for basic work in Hyderabad.,Corruption Bribe,High
CMP-1978,Mumbai,Overflowing waste bins causing bad smell in Mumbai.,Garbage Disposal,Low
CMP-1979,Hyderabad,No water supply in Hyderabad for 3 days.,Water Supply,Low
CMP-1980,Hyderabad,Power outage since morning in Hyderabad.,Electricity Outage,Medium
CMP-1981,Hyderabad,Frequent voltage fluctuation in Hyderabad.,Electricity Outage,Medium
CMP-1982,Mumbai,Harassment incidents reported near Mumbai. Immediate action needed.,Women Safety,High
CMP-1983,Bengaluru,Overflowing waste bins causing bad smell in Bengaluru.,Garbage Disposal,Low
CMP-1984,Chennai,Officer demanded bribe for service approval in Chennai.,Corruption Bribe,High
CMP-1985,Delhi,Patient not treated in emergency ward at Delhi.,Hospital Emergency,High
CMP-1986,Chennai,Frequent voltage fluctuation in Chennai.,Electricity Outage,Medium
CMP-1987,Hyderabad,"Unsafe area at night in Hyderabad, police patrolling required.",Women Safety,High
CMP-1988,Mumbai,"Traffic signals not working at Mumbai, risk of accidents.",Traffic Signal Failure,Medium
CMP-1989,Delhi,Dirty drinking water coming from taps in Delhi.,Water Supply,Low
CMP-1990,Mumbai,Broken traffic lights causing congestion in Mumbai.,Traffic Signal Failure,Medium
CMP-1991,Bengaluru,Harassment incidents reported near Bengaluru. Immediate action needed.,Women Safety,High
CMP-1992,Delhi,Patient not treated in emergency ward at Delhi.,Hospital Emergency,High
CMP-1993,Delhi,No water supply in Delhi for 3 days.,Water Supply,Low
CMP-1994,Chennai,Illegal payments forced for basic work in Chennai.,Corruption Bribe,High
CMP-1995,Delhi,Huge potholes causing accidents near Delhi.,Road Damage,Medium
CMP-1996,Delhi,Harassment incidents reported near Delhi. Immediate action needed.,Women Safety,High
CMP-1997,Hyderabad,Officer demanded bribe for service approval in Hyderabad.,Corruption Bribe,High
CMP-1998,Hyderabad,No water supply in Hyderabad for 3 days.,Water Supply,Low
CMP-1999,Mumbai,Dirty drinking water coming from taps in Mumbai.,Water Supply,Low
